https://docs.google.com/spreadsheets/d/11-nq0NsJycMLJ4nDu_bA79zLMl0CPFT7cgkKFSCa7jI/edit#gid=0

PtId	dtype	before/after	mean	std
0	norm	10	1.135704	0.172857
1	norm	10	0.730899	0.13413
2	norm	10	1.412192	0.208779
3	norm	10	1.230716	0.157419
4	norm	10	2.831311	0.179221
5	norm	10	1.337487	0.191722
6	norm	10	1.741777	0.14228
7	norm	10	1.510121	0.23712
8	norm	10	1.885526	0.196087
9	norm	10	0.996269	0.084919
10	norm	10	1.928277	0.133345
11	norm	10	0.826683	0.120043
12	norm	10	1.937081	0.13101
13	norm	10	0.585224	0.059922
14	norm	10	1.171833	0.074816
15	norm	10	1.947045	0.169195
16	norm	10	1.076924	0.125861
17	norm	10	0.684136	0.074918
0	norm	15	1.146874	0.179815
1	norm	15	0.772942	0.134222
2	norm	15	1.434496	0.211226
3	norm	15	1.216856	0.161682
4	norm	15	2.863535	0.182013
5	norm	15	1.350561	0.195883
6	norm	15	1.797481	0.128822
7	norm	15	1.524022	0.237556
8	norm	15	1.933991	0.198447
9	norm	15	1.000279	0.084994
10	norm	15	1.93628	0.135486
11	norm	15	0.831227	0.120602
12	norm	15	1.915514	0.132398
13	norm	15	0.592125	0.065225
14	norm	15	1.183458	0.076279
15	norm	15	1.969042	0.172813
16	norm	15	1.086039	0.12642
17	norm	15	0.691241	0.075029
0	norm	95	1.84781	0.438538
1	norm	95	0.846008	0.238272
2	norm	95	1.981887	0.633623
3	norm	95	1.758708	0.426192
4	norm	95	4.835563	0.401305
5	norm	95	1.401024	0.242156
6	norm	95	2.679904	0.441867
7	norm	95	1.756303	0.551113
8	norm	95	3.029507	0.622981
9	norm	95	1.071557	0.189898
10	norm	95	3.174901	0.449481
11	norm	95	1.335271	0.242469
12	norm	95	2.681515	0.641962
13	norm	95	1.054874	0.147457
14	norm	95	1.757565	0.340456
15	norm	95	2.372673	0.459942
16	norm	95	1.581019	0.369033
17	norm	95	1.206388	0.120792
0	arr	10	2.525202	0.232538
1	arr	10	2.70284	0.237286
2	arr	10	1.242377	0.116009
3	arr	10	3.850354	0.280205
4	arr	10	1.543014	0.524499
5	arr	10	1.97409	0.236511
6	arr	10	3.156191	1.191567
7	arr	10	3.937076	0.408713
8	arr	10	1.154693	0.243514
9	arr	10	1.703773	0.446815
10	arr	10	1.195863	0.165121
11	arr	10	1.512462	0.145045
12	arr	10	4.423976	0.246636
13	arr	10	1.164505	0.37677
14	arr	10	4.580573	0.243229
15	arr	10	5.218822	0.787865
16	arr	10	1.991236	0.189389
17	arr	10	3.408817	0.354715
18	arr	10	3.44225	0.883706
19	arr	10	0.868839	0.114005
20	arr	10	2.308671	0.156815
